TransactionID,OrderDate,TransactionDate,ShippingDate,CustomerID,ProductID,SKU,StoreID,Warehouse,Country,City,SalesChannel,PaymentMethod,OrderStatus,Quantity,UnitPrice,GrossSales,DiscountPct,DiscountAmount,NetSales,COGS,ShippingCost,ShippingMethod,DeliveryDays,MarketingCost,CampaignID,CampaignName,ReturnFlag,ReturnReason,CancellationFlag,NewVsReturning,InventoryLevel,StockStatus,ProductRating,CustomerSegment,AgeGroup,Gender,AcquisitionSource,LoyaltyTier,ProductName,Brand,ProductCategory,ProductSubcategory,SkinConcern,ProductSizeML,UnitCost,ProductLaunchDate
T915975,08-Mar-23,08/03/2023,03/15/2023,C502501,P1117,LW-EC-SER-1117,ONLINE,WH-SOU-MAIN,South Korea,Busan,E-commerce,Credit Card,Completed,2,226.13,452.26,0,0,452.26,113.12,7.4,Express,11,0,,None,No,,No,New,132,In Stock,4,Mass,18-24,Female,Affiliate,Bronze,Botanical Balance Brightening Serum (150ml),EcoPure,Serum,Brightening Serum,Sensitivity,150,56.56,27/05/2021
T906174,07/05/2023,05/07/2023,,C502176,P1118,LW-EC-SER-1118,S110,WH-CHI-BEI,China,Shanghai,Retail Store,Digital Wallet,Completed,2,226,452,0,0,452,183.18,0,Store Pickup,0,0,,,No,Unknown,No,Returning,725,In Stock,5,Mass,18-24,Male,Marketplace Search,Silver,Botanical Balance Brightening Serum (250ml),EcoPure,Serum,Brightening Serum,Sensitivity,250,91.59,27/05/2021
T909641,04-Aug-21,04/08/2021,06/08/2021,C504598,P1033,LW-HE-FAC-1033,ONLINE,WH-SOU-MAIN,South Korea,Busan,Online Marketplace,Bank Transfer,Completed,1,53.15,53.15,0,0,53.15,20.11,1.79,Standard,7,0,,,No,-,No,Returning,404,In Stock,,Premium,35-44,Female,Retail Walk-in,None,Tender Petal Sheet Mask (150ml),Herbal Roots,Face Mask,Sheet Mask,Dryness,150,20.11,03/03/2019
T916172,04/08/2021,04/08/2021,08/07/2021,C504087,P1038,LW-HE-CLE-1038,ONLINE,WH-JAP-MAIN,Japan,Osaka,Online Marketplace,Cash on Delivery,Returned,2,19.91,39.82,5,1.99,37.83,10.76,3.96,Standard,5,0,,,Yes,Skin Irritation / Allergic Reaction,No,Returning,491,In Stock,,Mass,35-44,Male,Affiliate,Bronze,Dewy Ritual Cleansing Balm (150ml),Herbal Roots,Cleanser,Cleansing Balm,Uneven Texture,150,5.38,03/06/2020
T919169,06/01/2021,06-Jan-21,12-Jan-21,C503741,P1108,LW-EC-ACN-1108,S127,WH-MAL-MAIN,Malaysia,Kuala Lumpur,Distributor,bank transfer,Completed,12,257.32,3087.84,0,0,3087.84,1057.2,14.9,Freight (B2B),7,0,,,No,,No,New,478,In Stock,,Mass,45-54,N/A,Influencer,Bronze,Soothe Recovery Spot Treatment (400ml),EcoPure,Acne Care,Spot Treatment,Redness,400,88.1,11/03/2020
T905636,23/01/2024,23-Jan-24,25/01/2024,C505026,P1040,LW-HE-ANT-1040,ONLINE,WH-SOU-MAIN,South Korea,Seoul,E-commerce,Digital Wallet,Completed,1,61.5,61.5,0,0,61.5,22.86,5.28,Same-Day,4,0,,N/A,No,N/A,No,Returning,430,In Stock,,Mass,18-24,Other,Paid Social,Bronze,Glow Barrier Wrinkle Cream (50ml),Herbal Roots,Anti-Aging,Wrinkle Cream,General Care,50,22.86,24/02/2021
T906257,29/12/2021,12/29/2021,01/03/2022,C502518,P1043,LW-HE-SER-1043,ONLINE,WH-SOU-MAIN,South Korea,Incheon,Online Marketplace,Bank Transfer,Completed,2,19.7,39.4,10,3.94,35.46,10.64,4.18,Standard,9,0,,N/A,No,,No,Returning,546,In Stock,,Mass,45-54,Other,Organic Search,Bronze,Luminous Petal Repair Ampoule (15ml),  Herbal Roots,Serum,Repair Ampoule,Hyperpigmentation,15,5.32,05/12/2019
T911510,20/02/2023,20/02/2023,27/02/2023 0:00,C504060,P1118,LW-EC-SER-1118,ONLINE,WH-THA-MAIN,Thailand,Chiang Mai,Online Marketplace,Debit Card,Completed,2,226,452,0,0,452,183.18,9,Standard,10,0,,,No,-,No,New,436,In Stock,,Mass,35-44,FEMALE,Affiliate,Silver,Botanical Balance Brightening Serum (250ml),EcoPure,Serum,Brightening Serum,Sensitivity,250,91.59,27/05/2021
T917446,"December 21, 2022",21/12/2022,25/12/2022,C501557,P1040,LW-HE-ANT-1040,ONLINE,WH-SOU-MAIN,South Korea,Seoul,E-commerce,Debit Card,Returned,1,$61.50,61.5,5,3.08,58.42,22.86,8.91,Standard,9,0,,,Yes,Quality Issue,No,Returning,121,In Stock,,Mass,35-44,Male,Affiliate,Silver,Glow Barrier Wrinkle Cream (50ml),Herbal Roots,Anti-Aging,Wrinkle Cream,General Care,50,22.86,24/02/2021
T904557,"July 12, 2021",12-Jul-21,07/15/2021,C506892,P1045,LW-HE-SER-1045,ONLINE,WH-JAP-MAIN,Japan,Nagoya,social-commerce,Digital Wallet,Completed,4,$222.24,888.96,0,0,888.96,246.64,6.43,Standard,6,0,,None,No,,No,Returning,611,In Stock,,Mass,45-54,FEMALE,Email Campaign,Bronze,Soothe Barrier Brightening Serum (200ml),Herbal Roots,Serum,Brightening Serum,Sensitivity,200,61.66,22/04/2020
